X,Y,SUBTYPE
-122.5896235,38.110639,CHRISTIAN
-122.1479615,37.7265623,CHRISTIAN
-122.5369498,37.8969228,BUDDHIST
-122.1552523,37.7721501,CHRISTIAN
-122.6466046,38.0213048,BUDDHIST
-122.1647631,37.7007513,CHRISTIAN
-122.5471412,38.0261907,CHRISTIAN
-122.1542229,37.6804858,CHRISTIAN
-122.5279464,37.9747982,CHRISTIAN
-122.5682033,38.0926806,CHRISTIAN
-122.5392052,37.8999796,CHRISTIAN
-122.2017123,37.7664333,CHRISTIAN
-122.5008516,37.9190488,CHRISTIAN
-122.2362068,37.7572732,CHRISTIAN
-122.2797896,37.7724964,CHRISTIAN
-122.2334908,37.7577318,CHRISTIAN
-122.0871247,37.7017074,CHRISTIAN
-122.034837,37.6179204,CHRISTIAN
-122.2735748,37.7999439,BUDDHIST
-122.2544875,37.7981549,CHRISTIAN
-121.643849,36.7064449,CHRISTIAN
-122.2584643,38.1840778,CHRISTIAN
-122.3225485,38.3235904,CHRISTIAN
-121.9956659,37.5814842,BUDDHIST
-122.0984277,37.6402922,CHRISTIAN
-122.2782285,37.8695658,CHRISTIAN
-122.0830405,37.7013047,CHRISTIAN
-121.5098446,38.2428318,BUDDHIST
-121.4381371,38.6368939,CHRISTIAN
-121.4307659,38.6362599,CHRISTIAN
-121.479417,38.493988,MUSLIM
-121.5013913,38.5684189,CHRISTIAN
-121.449404,38.6562181,BUDDHIST
-121.4929323,38.5664221,BUDDHIST
-121.4976833,38.5638935,BUDDHIST
-121.4464579,38.6314593,MUSLIM
-121.4910053,38.5381308,CHRISTIAN
-121.4434607,38.6157153,CHRISTIAN
-121.4812335,38.4770169,CHRISTIAN
-121.4552989,38.5262668,CHRISTIAN
-121.4947096,38.5698361,CHRISTIAN
-121.4315278,38.5392031,CHRISTIAN
-121.4869178,38.5782673,CHRISTIAN
-121.5063215,38.5716341,BUDDHIST
-121.5073453,38.5694972,CHRISTIAN
-121.4574609,38.4915956,CHRISTIAN
-121.4965519,38.494604,CHRISTIAN
-121.535586,38.4986264,CHRISTIAN
